hard,title,maker,date,sales,ruikei,year,url
SS,バーチャファイター2,セガ,1995/12/1,373926,1049968,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%83%90%E3%83%BC%E3%83%81%E3%83%A3%E3%83%95%E3%82%A1%E3%82%A4%E3%82%BF%E3%83%BC2&tag=zoocar-22&link_code=wql&_encoding=UTF-8
SS,ファイティングバイパーズ,セガ,1996/8/30,364869,364869,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%83%95%E3%82%A1%E3%82%A4%E3%83%86%E3%82%A3%E3%83%B3%E3%82%B0%E3%83%90%E3%82%A4%E3%83%91%E3%83%BC%E3%82%BA&tag=zoocar-22&link_code=wql&_encoding=UTF-8
SS,サクラ大戦,セガ,1996/9/27,359485,359485,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%82%B5%E3%82%AF%E3%83%A9%E5%A4%A7%E6%88%A6&tag=zoocar-22&link_code=wql&_encoding=UTF-8
SFC,スーパーボンバーマン4,ハドソン,1996/4/26,356919,356919,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%82%B9%E3%83%BC%E3%83%91%E3%83%BC%E3%83%9C%E3%83%B3%E3%83%90%E3%83%BC%E3%83%9E%E3%83%B34&tag=zoocar-22&link_code=wql&_encoding=UTF-8
SS,FIGHTERS MEGAMiX,セガ,1996/12/21,353535,353535,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=FIGHTERS+MEGAMiX&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS,アークザラッド (ザ・ベスト),SCE,1996/7/12,353260,353260,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%82%A2%E3%83%BC%E3%82%AF%E3%82%B6%E3%83%A9%E3%83%83%E3%83%89+%28%E3%82%B6%E3%83%BB%E3%83%99%E3%82%B9%E3%83%88%29&tag=zoocar-22&link_code=wql&_encoding=UTF-8
SFC,実況パワフルプロ野球3,KONAMI,1996/2/29,349877,349877,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E5%AE%9F%E6%B3%81%E3%83%91%E3%83%AF%E3%83%95%E3%83%AB%E3%83%97%E3%83%AD%E9%87%8E%E7%90%833&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS,第4次スーパーロボット大戦S,バンプレスト,1996/1/26,347865,347865,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E7%AC%AC4%E6%AC%A1%E3%82%B9%E3%83%BC%E3%83%91%E3%83%BC%E3%83%AD%E3%83%9C%E3%83%83%E3%83%88%E5%A4%A7%E6%88%A6S&tag=zoocar-22&link_code=wql&_encoding=UTF-8
SS,セガラリー・チャンピオンシップ,セガ,1995/12/29,347402,598368,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%82%BB%E3%82%AC%E3%83%A9%E3%83%AA%E3%83%BC%E3%83%BB%E3%83%81%E3%83%A3%E3%83%B3%E3%83%94%E3%82%AA%E3%83%B3%E3%82%B7%E3%83%83%E3%83%97&tag=zoocar-22&link_code=wql&_encoding=UTF-8
SS,ヴァンパイアハンター,カプコン,1996/2/23,340105,340105,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%83%B4%E3%82%A1%E3%83%B3%E3%83%91%E3%82%A4%E3%82%A2%E3%83%8F%E3%83%B3%E3%82%BF%E3%83%BC&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS,機動戦士ガンダム Ver.2.0,バンダイ,1996/3/29,336275,336275,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E6%A9%9F%E5%8B%95%E6%88%A6%E5%A3%AB%E3%82%AC%E3%83%B3%E3%83%80%E3%83%A0+Ver.2.0&tag=zoocar-22&link_code=wql&_encoding=UTF-8
SS,野々村病院の人々,エルフ,1996/4/26,327310,327310,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E9%87%8E%E3%80%85%E6%9D%91%E7%97%85%E9%99%A2%E3%81%AE%E4%BA%BA%E3%80%85&tag=zoocar-22&link_code=wql&_encoding=UTF-8
SS,電脳戦機バーチャロン,セガ,1996/11/29,323756,323756,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E9%9B%BB%E8%84%B3%E6%88%A6%E6%A9%9F%E3%83%90%E3%83%BC%E3%83%81%E3%83%A3%E3%83%AD%E3%83%B3&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS,ハイパーオリンピック イン アトランタ,KONAMI,1996/6/28,320452,320452,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%83%8F%E3%82%A4%E3%83%91%E3%83%BC%E3%82%AA%E3%83%AA%E3%83%B3%E3%83%94%E3%83%83%E3%82%AF+%E3%82%A4%E3%83%B3+%E3%82%A2%E3%83%88%E3%83%A9%E3%83%B3%E3%82%BF&tag=zoocar-22&link_code=wql&_encoding=UTF-8
SS,ストリートファイターZERO2,カプコン,1996/9/14,309593,309593,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%82%B9%E3%83%88%E3%83%AA%E3%83%BC%E3%83%88%E3%83%95%E3%82%A1%E3%82%A4%E3%82%BF%E3%83%BCZERO2&tag=zoocar-22&link_code=wql&_encoding=UTF-8
SS,ストリートファイターZERO,カプコン,1996/1/26,291362,291362,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%82%B9%E3%83%88%E3%83%AA%E3%83%BC%E3%83%88%E3%83%95%E3%82%A1%E3%82%A4%E3%82%BF%E3%83%BCZERO&tag=zoocar-22&link_code=wql&_encoding=UTF-8
SS,パンツァードラグーン ツヴァイ,セガ,1996/3/22,289420,289420,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%83%91%E3%83%B3%E3%83%84%E3%82%A1%E3%83%BC%E3%83%89%E3%83%A9%E3%82%B0%E3%83%BC%E3%83%B3+%E3%83%84%E3%83%B4%E3%82%A1%E3%82%A4&tag=zoocar-22&link_code=wql&_encoding=UTF-8
SS,デカスリート,セガ,1996/7/12,274201,274201,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%83%87%E3%82%AB%E3%82%B9%E3%83%AA%E3%83%BC%E3%83%88&tag=zoocar-22&link_code=wql&_encoding=UTF-8
SS,エネミー・ゼロ,ワープ,1996/12/13,272746,272746,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%82%A8%E3%83%8D%E3%83%9F%E3%83%BC%E3%83%BB%E3%82%BC%E3%83%AD&tag=zoocar-22&link_code=wql&_encoding=UTF-8
SS,ドラゴンフォース,セガ,1996/3/29,272166,272166,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%83%89%E3%83%A9%E3%82%B4%E3%83%B3%E3%83%95%E3%82%A9%E3%83%BC%E3%82%B9&tag=zoocar-22&link_code=wql&_encoding=UTF-8
SS,ビクトリーゴール'96,セガ,1996/3/29,265617,265617,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%83%93%E3%82%AF%E3%83%88%E3%83%AA%E3%83%BC%E3%82%B4%E3%83%BC%E3%83%AB%2796&tag=zoocar-22&link_code=wql&_encoding=UTF-8
SS,ザ・キング・オブ・ファイターズ'95,SNK,1996/3/28,257294,257294,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%82%B6%E3%83%BB%E3%82%AD%E3%83%B3%E3%82%B0%E3%83%BB%E3%82%AA%E3%83%96%E3%83%BB%E3%83%95%E3%82%A1%E3%82%A4%E3%82%BF%E3%83%BC%E3%82%BA%2795&tag=zoocar-22&link_code=wql&_encoding=UTF-8
SS,機動戦士ガンダム外伝I 戦慄のブルー,バンダイ,1996/9/20,239788,239788,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E6%A9%9F%E5%8B%95%E6%88%A6%E5%A3%AB%E3%82%AC%E3%83%B3%E3%83%80%E3%83%A0%E5%A4%96%E4%BC%9DI+%E6%88%A6%E6%85%84%E3%81%AE%E3%83%96%E3%83%AB%E3%83%BC&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS,新スーパーロボット大戦,バンプレスト,1996/12/27,239245,239245,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E6%96%B0%E3%82%B9%E3%83%BC%E3%83%91%E3%83%BC%E3%83%AD%E3%83%9C%E3%83%83%E3%83%88%E5%A4%A7%E6%88%A6&tag=zoocar-22&link_code=wql&_encoding=UTF-8
